id,Title,"Portfolio Categories",Permalink,Content
291,Electricity,"Book Design",http://s-cs.cengage.com/portfolio/animation/,
293,"About Wine","Book Design",http://s-cs.cengage.com/portfolio/infographic/,
295,"Becoming Rhetorical","Book Design",http://s-cs.cengage.com/portfolio/book-design/,
297,"Reading for Results","Book Design",http://s-cs.cengage.com/portfolio/illustration/,
299,Biology,"Book Design",http://s-cs.cengage.com/portfolio/biology/,
1637,"Deborah Leads Her People Against Canaan",Animation,http://s-cs.cengage.com/portfolio/deborah-leads-her-people-against-canaan/,
1773,"American Government","Book Design",http://s-cs.cengage.com/portfolio/american-government-16e/,
1813,"U.S. History Since 1865","Book Design",http://s-cs.cengage.com/portfolio/us-history-since-1865/,
2343,"Therapeutic Communication",Video,http://s-cs.cengage.com/portfolio/therapeutic-communication/,
2353,"Narration U3",Video,http://s-cs.cengage.com/portfolio/narration-u3/,
2359,"My Time English",Video,http://s-cs.cengage.com/portfolio/my-time-english/,
2365,"Learning Glass Example",Video,http://s-cs.cengage.com/portfolio/learning-glass-example/,
2369,"Kidner - The Global West",Video,http://s-cs.cengage.com/portfolio/kidner-the-global-west/,
2379,"Juntos Trailer",Video,http://s-cs.cengage.com/portfolio/juntos-trailer/,
2385,"HED Institutional Access",Video,http://s-cs.cengage.com/portfolio/hed-institutional-access/,
2389,"Exploremos MindTap Commercial",Video,http://s-cs.cengage.com/portfolio/exploremos-mindtap-commercial/,
2393,"Doble Via Trailer",Video,http://s-cs.cengage.com/portfolio/hed-institutional-access-2/,
2477,"IP 101",,http://s-cs.cengage.com/?post_type=portfolio&p=2477,
2481,"IP 101",Animation,http://s-cs.cengage.com/portfolio/ip-101/,
2493,"No Limits",Animation,http://s-cs.cengage.com/portfolio/no-limits/,
2499,"The Second Shift",Animation,http://s-cs.cengage.com/portfolio/the-second-shift/,
2501,"Into Thin Air",Animation,http://s-cs.cengage.com/portfolio/into-thin-air/,
2531,"Michael Hansen Whiteboard",Animation,http://s-cs.cengage.com/portfolio/michael-hansen-whiteboard/,
2557,"Heart Rotations",Animation,http://s-cs.cengage.com/portfolio/heart-rotations/,
2563,"Fund Bus",Animation,http://s-cs.cengage.com/portfolio/fund-bus/,
2567,"White Collar Crimes",Animation,http://s-cs.cengage.com/portfolio/white-collar-crimes/,
2575,"Conjunctive Adverbs",Animation,http://s-cs.cengage.com/portfolio/conjunctive-adverbs/,
2579,"Choice Theory Concept",Animation,http://s-cs.cengage.com/portfolio/choice-theory-concept/,
2583,"Public Speaking 101",Animation,http://s-cs.cengage.com/portfolio/public-speaking-101/,
2587,"Happy New Year 2018",Animation,http://s-cs.cengage.com/portfolio/happy-new-year-2018/,
2591,"Concepts in Play",Animation,http://s-cs.cengage.com/portfolio/concepts-in-play/,
2595,"Id, Ego & Super Ego",Animation,http://s-cs.cengage.com/portfolio/id-ego-super-ego/,
2603,"Butterfly Photoreel",Animation,http://s-cs.cengage.com/portfolio/butterfly-photoreel/,
2617,"Cengage Marketing Banner",Animation,http://s-cs.cengage.com/portfolio/cengage-marketing-banner/,
2627,CM_GIf_V2,Animation,http://s-cs.cengage.com/portfolio/cm_gif_v2/,
2645,"Crusaders on the Move",Interactive,http://s-cs.cengage.com/portfolio/crusaders-on-the-move/,
2677,"Congress vs US Population",Interactive,http://s-cs.cengage.com/portfolio/congress-vs-us-population/,
2723,"Texas Government Goes from Blue to Red",Interactive,http://s-cs.cengage.com/portfolio/texas-changes-from-blue-to-red/,
2897,"Cacioppo Art Specs","Style Guide",http://s-cs.cengage.com/portfolio/cacioppo-art-specs/,
3173,"A/V Type and Palette Specs","Style Guide",http://s-cs.cengage.com/portfolio/a-v-type-and-palette-specs/,
3189,"Mindtap Accessibility Specs","Style Guide",http://s-cs.cengage.com/portfolio/mindtap-accessibility-specs/,
3197,"Rosenthal Art Specs","Style Guide",http://s-cs.cengage.com/portfolio/rosenthal-art-specs/,
3273,"Atlas Branding",Illustration,http://s-cs.cengage.com/portfolio/atlas-branding/,
3285,"Center of Excellence Branding",Illustration,http://s-cs.cengage.com/portfolio/coe-branding/,
3605,"Nature vs. Nurture",Animation,http://s-cs.cengage.com/portfolio/nature-vs-nurture/,
3609,"Expressing Future Actions",Animation,http://s-cs.cengage.com/portfolio/expressing-future-actions/,
3613,"Nat Geo on Instagram",Animation,http://s-cs.cengage.com/portfolio/nat-geo-on-instagram/,
